Seci!O.K.,to bi bilo to.|Bio si sjajan,Bili.
Edi,idi gore i vidi šta se|dešava,do vraga!
Bili, jesi li dobro? To pade|taèno gde si stajao.
Znam,znam.-Pazite vi tamo|gore.Verovatno sluèajnost.
Molim vas,nemojte kasniti|na snimanje.Vreme je novac.
Vreme je novac...Vreme je|novac...
Tako,znaèi uspeo si èak i|ovde da se umuvaš?
Nemamo vesti od tebe.Nekad|sam znao odliènu rok grupu!
Bili su iz Londona i zvali|se"Letaèi".Bili su sjajni.
Gitarista im je jedne noæi|izgubio par prstiju.Ovako!
Svašta se dešava.Moraš imati|sve delove da uspeš.
Slažeš li se u tome sa mnom,|Bili?
Gubi se doðavola.-Veæ je|prilièno kasno.
Sedeæemo pored telefona i|èekati da nam se javiš.
Strpljenje nam baš nije|odlika.Nemoj sporo da uèiš.
Nije trebalo to da uradiš.|To je bila velika greška.
Došao sam da te vodim na|veèeru.
Æao,Bili.Možemo li veèeras|da odemo negde na špagete?
Imamo da snimimo još jednu|numeru veèeras,En.B
aš ti hvala,Èarli.Upliæeš mi|se u ljubavni život.
Je li gazda gore?-Aha.
Loše mi izgledaš.Daæu ti|malo hrane za okrepljenje.
Baš si predivno kopile.Daæu|ti još od ovoga.
Doktore Lend.Doktore,Stajner|je ovde pred vratima.
Dobro veèe,Stajneru.-Dobro|veèe,doktore.
Kako je proteklo vaše puto-|vanje u New York?-Bedno.
Ali,nisam ja jedini koji|tek što je doputovao.
Kako je proteklo tvoje puto-|vanje u Berlin,Stik?
Protekao je uglavnom,kako|ste bili pretpostavili.
Sada,kada je velika zvezda,|nisam ga mogao nagovoriti.
Rekao mi je da se povlaèi i|pretio mi je.-Ma nemoj?O
stalo je stajalo u novinama.|Navodno se ubio?
Samo je odjednom ustao i|skoèio kroz prozor.
U ovom trenutku je važnija|šampionska borba u Makau.
Ovde su reklamni posteri i|propagandni materijal.
Ovo je najbolje što smo|ikad imali.
Zaradiæemo na pravima za|televizijski prenos.
