
Japanska flota je napala|i delimièno uništila
pacifièku flotu SAD,|u NEDELJU UJUTRO 7.XII 1941.
Taj napad doveo je do ulaska|SAD u II Svetski rat.
Svi dogaðaji i likovi odgovaraju|istorijskim èinjenicama.
TORA! TORA! TORA!
Kapetan bojnog broda Fušida,|predvodi napad na Perl Harbur.
Nadam se da novi zapovednik|nije kukavica, kao što kažu.
Šta god rekli, Jamamoto|je voða kakav nam treba.
On veruje u avijaciju.
Ali zašto ministar mornarice|za takav položaj?
Možda klima u Tokiju|škodi njegovom zdravlju.
Armija je protiv njega jer se|suprostavlja njenoj politici.
Zato beži na more.|Sad ga èuva èitava flota.
Vice admiral Jamamoto,|buduæi zapovednik
Vice admiral Jošida,|bivši zapovednik
Predajem komandu|mornarice.
Preuzimam komandu|mornarice.
Ovom naredbom postajete|zapovednik.
Imperijalistièka flota sastoji|se od... -Štedi reèi, Jošida.
Ti detalji su u dokumentima.|-Nisi se promenio!
Pored takve vojne politike,|tvoj posao Ministra
mornarice biæe težak.|-Hvala Bogu da si ti ovde.
Znamo da ti je život|u opasnosti.
Mene nije tako lako ubiti.
Usijane glave u vojsci|traže savez sa Nemaèkom.
To bi bilo tragièno|za Japan.
Kao mornarièki ministar,|nastaviæu borbu sa vojskom.
Ti si nam poslednja nada,|Jošida.
Mornarica se mora|suprostaviti tom savezu.
Princ Fumimaro Konoje,|premijer Japana
Amerika je protiv rata|koji vodimo u Kini,
i ljuta što pregovaramo|sa Nemcima.
Sada nam preti zabranom na|sirovine koje su nam potrebne.
Ili da poboljšamo odnose|sa SAD i odemo iz Kine,
ili da naðemo drugi izvor|sirovina ovde, u Indokini.
Zašto brinuti zbog pretnji|Amerike?
Ruzvelt je svu pažnju|usmerio ka Evropi,
gde je Nemaèka odnela brzu|pobedu nad saveznièkom silom.
General Hideki Tojo,|ministar rata
Sad je vreme da udarimo!
Britanci, Holanðani|i Francuzi povlaèe svoje
snage iz jugoistoène Azije,|da pojaèaju vojske u Evropi.
Moramo biti oprezni.
Amerikanci imaju vojsku|na Filipinima,
a pomerili su Pacifièku flotu|iz San Diega u Perl Harbur.
Da, a ta flota je nož|u grlu Japana.
Kancelarija Adolfa Hitlera,|Berlin
POTPISIVANJEM|TRIPARTITNOG PAKTA,
JAPAN JE POSTAO TREÆI|ÈLAN SAVEZA SILA OSOVINE.
Saburo Kurusu, ambasador|Japana u Nemaèkoj
Vašington, D.C.
Gospodine, upravo je stigao|japanski ambasador
i želeo bi da ga primite.|-Hvala.
Kordel Hol|Državni sekretar
Japanci su se razmahali,|Henri, to znaš.
Kad je Amuro postao|ambasador,
nadao sam se da æe|se stvari srediti.
Ali, do sada naši sastanci|nisu dali rezultata.
On daje predloge,|ja nudim kompromise.
On daje nove predloge|i tako to ide dalje.
Amuru su poslali da dobije|na vremenu,
i on to radi, na naš trošak.
Henri Stimson,|Ministar rata SAD
Predsednik veruje da je on|èastan èovek.
G. ambasadore,|opet se sreæemo.
Uvek mi je zadovoljstvo.
Znate g. Stimsona, naèelnika|našeg Ministarstva rata?
Da, naravno. -Kako ste,|g. ambasadore?
G. Stimson, nadam se da vaše|prisustvo ne znaèi ništa kobno.
Naravno da ne, g. Amura.|-G. Amura, sedite, molim vas.
Od našeg poslednjeg|razgovora, prošle nedelje,
primio sam izvesna pitanja|od moje vlade,
