{1}{1}23.976
{26}{176}–û–≥–ª–∞—à–∞–≤–∞—ò—Ç–µ —Å–≤–æ—ò –ø—Ä–æ–∏–∑–≤–æ–¥ –∏–ª–∏ –º–∞—Ä–∫—É –∫–æ–¥ –Ω–∞—Å; –∫–æ–Ω—Ç–∞–∫—Ç–∏—Ä–∞—ò—Ç–µ www.OpenSubtitles.org
{4438}{4501}Hej, Kirk, kako je?|- Kako si ti?
{4586}{4735}Tvoj kamion, sinko? - Da.|- Otvori. Da vidimo otpremnicu.
{4955}{5072}Pa, hapsim te zbog prevoza|alkoholnih piÊa preko drûavne...
{5081}{5171}...granice bez dozvole. A to|znaËi glupi kauboju...
{5181}{5272}Valjda znaö da je prevoziti|pivo istoÊno od Teksasa överc?
{5280}{5384}Ovo je Dûordûija, sine.|- Ali radi se o opkladi.
{5389}{5428}Ona dvojica,|su mi to smestili.
{5431}{5472}Ti se neËeö nikad|opametiti?
{5480}{5586}Veliki i Mali Enos su se tako|kladili sa svakim kamiondûijom.
{5606}{5736}Kad ti kaûem, neÊe on u igru.|- Sine, koliko ja znam, Bandit...
{5745}{5781}...najviöe drûi do svog Ja.
{5786}{5841}Daj mu to,|i joö dosta mojih para...
{5844}{5898}...i taj Êe pokuöati sve,|bilo legalno ili ne.
{6381}{6462}Gde mogu naËi Bandita? - Nisam|ga video. - Tamo je, iza kamiona.
{6467}{6562}A ko ga traûi? - A ko pita?|- Ja pitam. Ja mu plaÊam...
{6566}{6636}...25 dolara na dan da bi ga se|verni oboûavaoci nagledali.
{6717}{6785}Kupujem tvoju atrakciju|na pola sata.
{7002}{7107}Prokleti egoista. Ko god ovako|naslika kamion, spreman je...
{7114}{7194}...da na sahranu sveöteniku|doe u perju.
{7198}{7304}Vidiö, sine, stare legende|ne umiru. Samo jako oslabe.
{7312}{7415}Legende i propalice bez posla|meni izgledaju isto, tata.
{7431}{7483}Banditu,|moj sin i ja smo tu.
{7649}{7727}Ala su vam dobra odela!|Mora da je teöko pronaÊi isti...
{7734}{7799}...broj za velikog debeljka|i broj za patuljka.
{7803}{7923}Ovde sam radi posla. Koliko|dobiva ako pobedi na ovom Rodeu?
{7930}{8038}Ako pobedi? - 5000 dolara, tata.|- Ma to je sitniö.
